  PID  PPID USER                 ELAPSED COMM
  656     1 bcb              06-04:09:17 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  657     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  658     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  659     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  660     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  661     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  662     1 bcb              06-04:09:17 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  663     1 bcb              06-04:09:17 /System/Library/CoreServices/talagentd
  664     1 bcb              06-04:09:17 /System/Library/CoreServices/sharedfilelistd
  665     1 bcb              06-04:09:17 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  666     1 bcb              06-04:09:17 /System/Applications/Messages.app/Contents/MacOS/Messages
  667     1 bcb              06-04:09:17 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  668     1 root             06-04:09:17 /usr/libexec/sysmond
  669     1 bcb              06-04:09:17 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  670     1 bcb              06-04:09:17 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  672     1 bcb              06-04:09:17 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  674     1 bcb              06-04:09:16 /usr/libexec/transparencyd
  675     1 bcb              06-04:09:16 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  676     1 bcb              06-04:09:16 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  677     1 _ctkd            06-04:09:16 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  678     1 bcb              06-04:09:16 /usr/libexec/pkd
  679     1 bcb              06-04:09:16 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  680     1 root             06-04:09:16 /usr/sbin/systemsoundserverd
  681     1 bcb              06-04:09:16 /usr/libexec/sharingd
  682     1 root             06-04:09:16 /usr/libexec/wifip2pd
  683     1 _applepay        06-04:09:16 /usr/libexec/nfcd
  684     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  686     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  687     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  688     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  689     1 bcb              06-04:09:16 /usr/libexec/MTLAssetUpgraderD
  690     1 bcb              06-04:09:16 /usr/libexec/networkserviceproxy
  691     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  692     1 bcb              06-04:09:16 /usr/libexec/swcd
  693     1 bcb              06-04:09:16 /usr/libexec/duetexpertd
  694     1 bcb              06-04:09:16 /usr/libexec/dmd
  695     1 bcb              06-04:09:16 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
  696     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
  697     1 bcb              06-04:09:16 /usr/libexec/siriknowledged
  698     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  701     1 root             06-04:09:16 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
  702     1 _nearbyd         06-04:09:16 /usr/libexec/nearbyd
  703     1 bcb              06-04:09:16 /System/Applications/Notes.app/Contents/MacOS/Notes
